Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1696500234827,05/10/2023 10:03:54,1696507434827,2,05/10/2023 14:03:54,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1696500244306,05/10/2023 10:04:04,1696507444306,2,05/10/2023 14:04:04,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,9392.273999856949,9379.198,9392.273999856949,9392.273999856949,9379.198,9392.273999856949,1,9392.273999856949,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1696500244398,05/10/2023 10:04:04,1696507444398,2,05/10/2023 14:04:04,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,103.57499999999948,100.08799999999974,103.57499999999948,103.57499999999948,100.08799999999974,103.57499999999948,1,103.57499999999948,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1696500256561,05/10/2023 10:04:16,1696507456561,2,05/10/2023 14:04:16,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,12261.475999952316,12254.096999999998,12261.475999952316,12261.475999952316,12254.096999999998,12261.475999952316,1,12261.475999952316,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1696500256564,05/10/2023 10:04:16,1696507456564,2,05/10/2023 14:04:16,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,6854.257999999998,12254.096999999998,12270.475999952316,6854.257999999998,12254.096999999998,12270.475999952316,1,6854.257999999998,5416.217999952318,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1696500256565,05/10/2023 10:04:16,1696507456565,2,05/10/2023 14:04:16,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,8074.698,12254.096999999998,12270.644999999997,8074.698,12254.096999999998,12270.644999999997,1,8074.698,4195.9469999999965,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1696500256565,05/10/2023 10:04:16,1696507456565,2,05/10/2023 14:04:16,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,4,11033.801,12254.096999999998,12270.644999999997,11033.801,12254.096999999998,12270.644999999997,1,11033.801,1236.8439999999973,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1696500256662,05/10/2023 10:04:16,1696507456662,2,05/10/2023 14:04:16,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,114.41100000000154,100.3060000000005,114.41100000000154,114.41100000000154,100.3060000000005,114.41100000000154,1,114.41100000000154,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1696500268249,05/10/2023 10:04:28,1696507468249,2,05/10/2023 14:04:28,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,11701.47899985695,11686.257999999998,11701.47899985695,11701.47899985695,11686.257999999998,11701.47899985695,1,11701.47899985695,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1696500268255,05/10/2023 10:04:28,1696507468255,2,05/10/2023 14:04:28,142915,11,task-qcg3,,32046195,8o5bdk3a,9477400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,3840x1200,1320x1068,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,4329.939000000002,11686.257999999998,11703.172999999992,4329.939000000002,11686.257999999998,11703.172999999992,1,4329.939000000002,7373.2339999999895,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
