Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1696570690880,06/10/2023 05:38:10,1696577890880,2,06/10/2023 09:38:10,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1696570709336,06/10/2023 05:38:29,1696577909336,2,06/10/2023 09:38:29,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,18332.509999999995,18315.845999999998,18332.509999999995,18332.509999999995,18315.845999999998,18332.509999999995,1,18332.509999999995,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1696570709426,06/10/2023 05:38:29,1696577909426,2,06/10/2023 09:38:29,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,112.05600001192224,99.69599999999991,112.05600001192224,112.05600001192224,99.69599999999991,112.05600001192224,1,112.05600001192224,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1696570722976,06/10/2023 05:38:42,1696577922976,2,06/10/2023 09:38:42,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,13646.435000000001,13632.178000000004,13646.435000000001,13646.435000000001,13632.178000000004,13646.435000000001,1,13646.435000000001,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1696570722979,06/10/2023 05:38:42,1696577922979,2,06/10/2023 09:38:42,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,7115.904000000002,13632.178000000004,13648.907000000003,7115.904000000002,13632.178000000004,13648.907000000003,1,7115.904000000002,6533.003000000001,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1696570722980,06/10/2023 05:38:42,1696577922980,2,06/10/2023 09:38:42,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,7765.75,13632.178000000004,13648.907000000003,7765.75,13632.178000000004,13648.907000000003,1,7765.75,5883.157000000003,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1696570722981,06/10/2023 05:38:42,1696577922981,2,06/10/2023 09:38:42,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,12699.071,13632.178000000004,13648.907000000003,12699.071,13632.178000000004,13648.907000000003,1,12699.071,949.836000000003,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1696570723317,06/10/2023 05:38:43,1696577923317,2,06/10/2023 09:38:43,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,116.56899999998132,116.56899999998132,116.56899999998132,116.56899999998132,116.56899999998132,116.56899999998132,1,116.56899999998132,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1696570732080,06/10/2023 05:38:52,1696577932080,2,06/10/2023 09:38:52,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,9133.010000000002,9116.337,9133.010000000002,9133.010000000002,9116.337,9133.010000000002,1,9133.010000000002,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1696570732083,06/10/2023 05:38:52,1696577932083,2,06/10/2023 09:38:52,142915,13,task-qcg3,,32059911,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,4016.625,9116.337,9133.010000000002,4016.625,9116.337,9133.010000000002,1,4016.625,5116.385000000002,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
