Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1699276276134,06/11/2023 13:11:16,1699279876134,1,06/11/2023 15:11:16,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1699276331278,06/11/2023 13:12:11,1699279931278,1,06/11/2023 15:12:11,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,54646,54638,54646,54646,54638,54646,1,54646,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1699276331370,06/11/2023 13:12:11,1699279931370,1,06/11/2023 15:12:11,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,99.73895900113715,95,99.73895900113715,99.73895900113715,95,99.73895900113715,1,99.73895900113715,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1699276373544,06/11/2023 13:12:53,1699279973544,1,06/11/2023 15:12:53,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,42270,42261,42270,42270,42261,42270,1,42270,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1699276373548,06/11/2023 13:12:53,1699279973548,1,06/11/2023 15:12:53,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,5,20061,42261,42277,20061,42261,42277,1,20061,22216,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1699276373549,06/11/2023 13:12:53,1699279973549,1,06/11/2023 15:12:53,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,36627,42261,42278,36627,42261,42278,1,36627,5651,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1699276373549,06/11/2023 13:12:53,1699279973549,1,06/11/2023 15:12:53,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,3,39711,42261,42278,39711,42261,42278,1,39711,2567,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1699276373637,06/11/2023 13:12:53,1699279973637,1,06/11/2023 15:12:53,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,104.77812466940833,100,104.77812466940833,104.77812466940833,100,104.77812466940833,1,104.77812466940833,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1699276410486,06/11/2023 13:13:30,1699280010486,1,06/11/2023 15:13:30,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,36950,36933,36950,36950,36933,36950,1,36950,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1699276410490,06/11/2023 13:13:30,1699280010490,1,06/11/2023 15:13:30,146116,4,task-qcg3,,32737965,icec2pk8,9687063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x817,Accepted,,0,familiarity ratings,28,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,response,6,26866,36933,36950,26866,36933,36950,1,26866,10084,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
