Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1696512808066,05/10/2023 13:33:28,1696520008066,2,05/10/2023 17:33:28,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1696512889635,05/10/2023 13:34:49,1696520089635,2,05/10/2023 17:34:49,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,81368.637,81351.868,81368.637,81368.637,81351.868,81368.637,1,81368.637,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1696512889777,05/10/2023 13:34:49,1696520089777,2,05/10/2023 17:34:49,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,160.728000095368,149.42900000000373,160.728000095368,160.728000095368,149.42900000000373,160.728000095368,1,160.728000095368,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1696512923118,05/10/2023 13:35:23,1696520123118,2,05/10/2023 17:35:23,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,33480.78499995232,33466.212,33480.78499995232,33480.78499995232,33466.212,33480.78499995232,1,33480.78499995232,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1696512923122,05/10/2023 13:35:23,1696520123122,2,05/10/2023 17:35:23,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,28021.664999999994,33466.212,33483.05,28021.664999999994,33466.212,33483.05,1,28021.664999999994,5461.385000000009,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1696512923123,05/10/2023 13:35:23,1696520123123,2,05/10/2023 17:35:23,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,29902.800000000003,33466.212,33483.05,29902.800000000003,33466.212,33483.05,1,29902.800000000003,3580.25,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1696512923124,05/10/2023 13:35:23,1696520123124,2,05/10/2023 17:35:23,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,31900.777000000002,33466.212,33483.05,31900.777000000002,33466.212,33483.05,1,31900.777000000002,1582.273000000001,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1696512923236,05/10/2023 13:35:23,1696520123236,2,05/10/2023 17:35:23,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,149.49899999999616,149.49899999999616,149.49899999999616,149.49899999999616,149.49899999999616,149.49899999999616,1,149.49899999999616,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1696512967931,05/10/2023 13:36:07,1696520167931,2,05/10/2023 17:36:07,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,44850.37300014305,44838.172000000006,44850.37300014305,44850.37300014305,44838.172000000006,44850.37300014305,1,44850.37300014305,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1696512967940,05/10/2023 13:36:07,1696520167940,2,05/10/2023 17:36:07,142915,11,task-qcg3,,32051717,qxs606vf,9479413,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1280x720,1263x897,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,2,trial,Screen 1,9lhd9n,1,response,1,29020.74399999999,44838.172000000006,44854.84700000002,29020.74399999999,44838.172000000006,44854.84700000002,1,29020.74399999999,15834.103000000032,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
