Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1696503859496,05/10/2023 11:04:19,1696511059496,2,05/10/2023 15:04:19,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1696503885272,05/10/2023 11:04:45,1696511085272,2,05/10/2023 15:04:45,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,25661.549999988078,25650.132999999998,25661.549999988078,25661.549999988078,25650.132999999998,25661.549999988078,1,25661.549999988078,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1696503885644,05/10/2023 11:04:45,1696511085644,2,05/10/2023 15:04:45,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,132.675999999974,115.96999999997206,132.675999999974,132.675999999974,115.96999999997206,132.675999999974,1,132.675999999974,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1696503907249,05/10/2023 11:05:07,1696511107249,2,05/10/2023 15:05:07,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,21976.91699998808,21966.615999999998,21976.91699998808,21976.91699998808,21966.615999999998,21976.91699998808,1,21976.91699998808,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1696503907251,05/10/2023 11:05:07,1696511107251,2,05/10/2023 15:05:07,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,6,12267.017000000003,21966.615999999998,21983.198999999997,12267.017000000003,21966.615999999998,21983.198999999997,1,12267.017000000003,9716.181999999993,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1696503907252,05/10/2023 11:05:07,1696511107252,2,05/10/2023 15:05:07,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,15016.552,21966.615999999998,21983.198999999997,15016.552,21966.615999999998,21983.198999999997,1,15016.552,6966.646999999997,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1696503907252,05/10/2023 11:05:07,1696511107252,2,05/10/2023 15:05:07,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,1,trial,Screen 1,9lhd9n,1,response,6,20766.73,21966.615999999998,21983.198999999997,20766.73,21966.615999999998,21983.198999999997,1,20766.73,1216.4689999999973,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1696503907613,05/10/2023 11:05:07,1696511107613,2,05/10/2023 15:05:07,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,135.408999982121,133.23299999997835,135.408999982121,135.408999982121,133.23299999997835,135.408999982121,1,135.408999982121,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1696503917186,05/10/2023 11:05:17,1696511117186,2,05/10/2023 15:05:17,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,9959.101000000002,9950.053,9959.101000000002,9959.101000000002,9950.053,9959.101000000002,1,9959.101000000002,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1696503917189,05/10/2023 11:05:17,1696511117189,2,05/10/2023 15:05:17,142915,11,task-qcg3,,32047161,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list2,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,3666.559000000001,9950.053,9962.50099997616,3666.559000000001,9950.053,9962.50099997616,1,3666.559000000001,6295.941999976159,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
