Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
1,1698222657647,25/10/2023 08:30:57,1698229857647,2,25/10/2023 12:30:57,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1698222661713,25/10/2023 08:31:01,1698229861713,2,25/10/2023 12:31:01,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,3512.0879999761582,3501.7170000000006,3512.0879999761582,3512.0879999761582,3501.7170000000006,3512.0879999761582,1,3512.0879999761582,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,
3,1698222661814,25/10/2023 08:31:01,1698229861814,2,25/10/2023 12:31:01,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,111.48899996423677,100.14599999999973,111.48899996423677,111.48899996423677,100.14599999999973,111.48899996423677,1,111.48899996423677,0,0,,Video,Video,2,object-8,trial,children,barn,Barn.mp4,Children 1.jpg,1,,1
4,1698222687285,25/10/2023 08:31:27,1698229887285,2,25/10/2023 12:31:27,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,25566.170999988077,25552.311999999998,25566.170999988077,25566.170999988077,25552.311999999998,25566.170999988077,1,25566.170999988077,0,0,,Click To Continue,Continue Button,10,object-24,trial,children,barn,Barn.mp4,Children 1.jpg,1,,2
5,1698222687288,25/10/2023 08:31:27,1698229887288,2,25/10/2023 12:31:27,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,15454.909999999998,25552.311999999998,25569.07,15454.909999999998,25552.311999999998,25569.07,1,15454.909999999998,10114.160000000002,0,,Rating Scale,Familiarity,5,object-10,trial,children,barn,Barn.mp4,Children 1.jpg,1,,3
6,1698222687289,25/10/2023 08:31:27,1698229887289,2,25/10/2023 12:31:27,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,17557.61,25552.311999999998,25569.07,17557.61,25552.311999999998,25569.07,1,17557.61,8011.459999999999,0,,Rating Scale,Use,7,object-12,trial,children,barn,Barn.mp4,Children 1.jpg,1,,4
7,1698222687290,25/10/2023 08:31:27,1698229887290,2,25/10/2023 12:31:27,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,1,trial,Screen 1,9lhd9n,1,response,4,21429.631999999998,25552.311999999998,25569.07,21429.631999999998,25552.311999999998,25569.07,1,21429.631999999998,4139.438000000002,0,,Rating Scale,Similarity,9,object-14,trial,children,barn,Barn.mp4,Children 1.jpg,1,,5
8,1698222687367,25/10/2023 08:31:27,1698229887367,2,25/10/2023 12:31:27,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,112.84899995231594,99.76699999999983,112.84899995231594,112.84899995231594,99.76699999999983,112.84899995231594,1,112.84899995231594,0,0,,Video,Video,2,object-8,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,6
9,1698222709480,25/10/2023 08:31:49,1698229909480,2,25/10/2023 12:31:49,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,22226.058999976158,22213.790999999997,22226.058999976158,22226.058999976158,22213.790999999997,22226.058999976158,1,22226.058999976158,0,0,,Click To Continue,Continue Button,10,object-24,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,7
10,1698222709482,25/10/2023 08:31:49,1698229909482,2,25/10/2023 12:31:49,142915,16,task-qcg3,,32477931,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,familiarity ratings,30,Not on phone,Accepted,,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,14419.597999999998,22213.790999999997,22227.659,14419.597999999998,22213.790999999997,22227.659,1,14419.597999999998,7808.0610000000015,0,,Rating Scale,Familiarity,5,object-10,trial,flower,blomst,Blomst.mp4,Flower 1.jpg,2,,8
