Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j45v,branch-cyxv,checkpoint-t1lc,checkpoint-isbn,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: rsl_id_gloss,Spreadsheet: video_name,Spreadsheet: picture_name,Manipulation: Spreadsheet,Store: progress
1,1696750209577,08/10/2023 07:30:09,1696761009577,3,08/10/2023 13:30:09,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1696750388617,08/10/2023 07:33:08,1696761188617,3,08/10/2023 13:33:08,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,1,Instructions,Screen 1,apt9h7,1,continue,,153497.47900000002,153480.625,153497.47900000002,153497.47900000002,153480.625,153497.47900000002,1,153497.47900000002,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,
3,1696750389305,08/10/2023 07:33:09,1696761189305,3,08/10/2023 13:33:09,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,info,Video start,705.1599999999909,699.5499999999884,705.1599999999909,705.1599999999909,699.5499999999884,705.1599999999909,1,705.1599999999909,0,0,,Video,Video,2,object-8,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,1
4,1696750401283,08/10/2023 07:33:21,1696761201283,3,08/10/2023 13:33:21,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,continue,,12672.65899985694,12664.899000000005,12672.65899985694,12672.65899985694,12664.899000000005,12672.65899985694,1,12672.65899985694,0,0,,Click To Continue,Continue Button,10,object-24,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,2
5,1696750401289,08/10/2023 07:33:21,1696761201289,3,08/10/2023 13:33:21,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,6399.035999999993,12664.899000000005,12681.488000000012,6399.035999999993,12664.899000000005,12681.488000000012,1,6399.035999999993,6282.452000000019,0,,Rating Scale,Familiarity,5,object-10,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,3
6,1696750401291,08/10/2023 07:33:21,1696761201291,3,08/10/2023 13:33:21,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,yes,8698.883000000002,12664.899000000005,12681.488000000012,8698.883000000002,12664.899000000005,12681.488000000012,1,8698.883000000002,3982.6050000000105,0,,Rating Scale,Use,7,object-12,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,4
7,1696750401294,08/10/2023 07:33:21,1696761201294,3,08/10/2023 13:33:21,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,1,trial,Screen 1,9lhd9n,1,response,7,11731.709000000003,12664.899000000005,12681.488000000012,11731.709000000003,12664.899000000005,12681.488000000012,1,11731.709000000003,949.7790000000095,0,,Rating Scale,Similarity,9,object-14,trial,cabbage,капуста,1.mp4,Cabbage 2.jpg,,5
8,1696750401636,08/10/2023 07:33:21,1696761201636,3,08/10/2023 13:33:21,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,info,Video start,160.93299985693488,150.37899999984074,160.93299985693488,160.93299985693488,150.37899999984074,160.93299985693488,1,160.93299985693488,0,0,,Video,Video,2,object-8,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,6
9,1696750412615,08/10/2023 07:33:32,1696761212615,3,08/10/2023 13:33:32,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,continue,,11350.859999999986,11348.40399999998,11350.859999999986,11350.859999999986,11348.40399999998,11350.859999999986,1,11350.859999999986,0,0,,Click To Continue,Continue Button,10,object-24,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,7
10,1696750412622,08/10/2023 07:33:32,1696761212622,3,08/10/2023 13:33:32,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,5815.91399999999,11348.40399999998,11357.359999999986,5815.91399999999,11348.40399999998,11357.359999999986,1,5815.91399999999,5541.445999999996,0,,Rating Scale,Familiarity,5,object-10,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,8
11,1696750412624,08/10/2023 07:33:32,1696761212624,3,08/10/2023 13:33:32,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,response,yes,9465.261999999988,11348.40399999998,11359.559999809251,9465.261999999988,11348.40399999998,11359.559999809251,1,9465.261999999988,1894.2979998092633,0,,Rating Scale,Use,7,object-12,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,9
12,1696750412626,08/10/2023 07:33:32,1696761212626,3,08/10/2023 13:33:32,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,2,trial,Screen 1,9lhd9n,1,response,7,10765.179999999993,11348.40399999998,11361.259999856935,10765.179999999993,11348.40399999998,11361.259999856935,1,10765.179999999993,596.0799998569419,0,,Rating Scale,Similarity,9,object-14,trial,engagement,помолвка,2.mp4,Engagement 2.jpg,,10
13,1696750412724,08/10/2023 07:33:32,1696761212724,3,08/10/2023 13:33:32,142916,13,task-1v1w,,32094521,de08xpgq,9489076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,Accepted,,0,familiarity ratings,19,rsl_list2,Not on phone,,Accepted,survey_list,3,trial,Screen 1,9lhd9n,1,info,Video start,112.30400000000559,100.11000000001513,112.30400000000559,112.30400000000559,100.11000000001513,112.30400000000559,1,112.30400000000559,0,0,,Video,Video,2,object-8,trial,color,цвет,3.mp4,Color 2.jpg,,11
