Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: picture,Spreadsheet: video,Spreadsheet: correct,Spreadsheet: condition,Spreadsheet: item,Spreadsheet: index,Spreadsheet: trial,Spreadsheet: randomise_trials,Manipulation: Spreadsheet,Store: correct,Store: total
1,1698222230112,25/10/2023 08:23:50,1698229430112,2,25/10/2023 12:23:50,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1698222232962,25/10/2023 08:23:52,1698229432962,2,25/10/2023 12:23:52,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,instructions,Screen 1,9upwou,1,info,Video start,2018.606000011921,2002.5109999999995,2018.606000011921,2018.606000011921,2002.5109999999995,2018.606000011921,1,2018.606000011921,0,0,,Video,Experimental instructions,3,object-161,instructions,,,,,,,,,,,
3,1698222250605,25/10/2023 08:24:10,1698229450605,2,25/10/2023 12:24:10,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,19660.348,19643.653000000002,19660.348,19660.348,19643.653000000002,19660.348,1,19660.348,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
4,1698222250609,25/10/2023 08:24:10,1698229450609,2,25/10/2023 12:24:10,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,instructions,Screen 1,9upwou,1,continue,,19660.348,19643.653000000002,19660.348,19660.348,19643.653000000002,19660.348,1,19660.348,0,0,,Space To Continue,Continue Button,2,object-48,instructions,,,,,,,,,,,
5,1698222251088,25/10/2023 08:24:11,1698229451088,2,25/10/2023 12:24:11,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,match,Screen 1,nmofvp,1,continue,,500.49099999999817,500.49099999999817,500.49099999999817,500.49099999999817,500.49099999999817,500.49099999999817,1,500.49099999999817,0,0,,Fixation Timing,,1,object-167,match,Win 2.jpg,Vinne.mp4,same,same,win,24,target,1,,,
6,1698222252090,25/10/2023 08:24:12,1698229452090,2,25/10/2023 12:24:12,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,match,Screen 2,pevo7u,2,timedOut,,1002.7530000000006,1001.3169999999991,1002.7530000000006,1002.7530000000006,1001.3169999999991,1002.7530000000006,0,1002.7530000000006,0,0,,Time Limit,screen,0,screen,match,Win 2.jpg,Vinne.mp4,same,same,win,24,target,1,,,
7,1698222252390,25/10/2023 08:24:12,1698229452390,2,25/10/2023 12:24:12,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,match,Screen 3,z1irvt,3,timedOut,,300.83599997615966,300.52000000000044,300.83599997615966,300.83599997615966,300.52000000000044,300.83599997615966,1,300.83599997615966,0,0,,Time Limit,screen,0,screen,match,Win 2.jpg,Vinne.mp4,same,same,win,24,target,1,,,
8,1698222252400,25/10/2023 08:24:12,1698229452400,2,25/10/2023 12:24:12,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,match,Screen 4,9wlxvm,4,info,Video start,10.980999988080148,0,10.980999988080148,10.980999988080148,0,10.980999988080148,1,10.980999988080148,0,0,,Video,video,1,object-178,match,Win 2.jpg,Vinne.mp4,same,same,win,24,target,1,,,
9,1698222258026,25/10/2023 08:24:18,1698229458026,2,25/10/2023 12:24:18,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,match,Screen 4,9wlxvm,4,response,nomatch,5636.416000000001,5624.505000000001,5636.416000000001,5636.416000000001,5624.505000000001,5636.416000000001,1,5636.416000000001,0,0,,Keyboard Response,Keyboard Response,6,object-183,match,Win 2.jpg,Vinne.mp4,same,same,win,24,target,1,,,
10,1698222258515,25/10/2023 08:24:18,1698229458515,2,25/10/2023 12:24:18,142915,16,task-eu79,,32477455,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3164x1273,Accepted,,0,experiment list1,109,Not on phone,Accepted,,nsl_list1,1,nomatch,Screen 1,8mz8sc,1,continue,,500.5839999999989,500.5839999999989,500.5839999999989,500.5839999999989,500.5839999999989,500.5839999999989,1,500.5839999999989,0,0,,Fixation Timing,,1,object-186,nomatch,Sneeze 1.jpg,Knyte.mp4,different,different,na,68,foil,1,,,
