Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Randomise questionnaire elements?,Question Key,Response
1,1696578347491,06/10/2023 07:45:47,1696578347416,2,06/10/2023 09:45:47,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1482x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,BEGIN QUESTIONNAIRE,
2,1696578457710,06/10/2023 07:47:37,1696578457657,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,1_dob-month,10
3,1696578457774,06/10/2023 07:47:37,1696578457658,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,1_dob-year,1970
4,1696578457774,06/10/2023 07:47:37,1696578457658,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,2_pob,København
5,1696578457774,06/10/2023 07:47:37,1696578457659,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,3_residence,Slemmestad
6,1696578457774,06/10/2023 07:47:37,1696578457659,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,4_handedness,høyrehendt
7,1696578457774,06/10/2023 07:47:37,1696578457659,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,4_handedness-quantised,1
8,1696578457774,06/10/2023 07:47:37,1696578457659,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,5_hearinglevel,Alvorlig hørselstap (>90 dB)
9,1696578457774,06/10/2023 07:47:37,1696578457659,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,5_hearinglevel-quantised,1
10,1696578457774,06/10/2023 07:47:37,1696578457660,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,6_hearing-aids,nei
11,1696578457774,06/10/2023 07:47:37,1696578457660,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,6_hearing-aids-quantised,2
12,1696578457774,06/10/2023 07:47:37,1696578457660,2,06/10/2023 09:47:37,142915,13,questionnaire-zt1x,,32059980,srup7r1h,9481525,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.47,1920x1080,1467x958,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list1,No,6a_CI,nei
